"Timestamps","q1_1*","q1_2*","q1_3*","q2_1*","q2_2*","q2_3*","q3_1","q3_2","q3_3","q3_4","q4_1*","q4_2*","q4_3*","q4_4*","q4_5*","q5_1","q5_2","q6_1","q6_2","q6_3","q6_4","q6_5","q7_1","q7_2","q7_3","q7_4","q7_5","q7_6","q7_7","q7_8","q8_1","q8_2","q8_3","q8_4","q9_1*","q9_2*","q9_3*","q9_4*","q9_5*","q9_6*","q9_7*","q9_8*","q10_1","q10_2","q10_3","q10_4","q10_5","q10_6","q11_1","q11_2","q11_3","q11_4","q12_1","q12_2","q13_1","q13_2","q13_3","q13_4","q13_5","q13_6","q13_7","q14_1*","q14_2*","q14_3*","q14_4*","q16_1*","q16_2*","q16_3*","q16_4*","q16_5*","q17_1","q17_2","q17_3","q17_4","q17_5","q17_6","q18_1","q18_2","q18_3","q18_4","q19_1*","q19_2*","q19_3*","q19_4*","q19_5*","q19_6*","q19_7*","q19_8*","q20_1","q20_2","q20_3","q20_4","q20_5","q20_6","q21_1*","q21_2*","q21_3*","q21_4*","q22","q23","q24","q25","q26","q27","q28_1*","q28_2*","q28_3*","q28_4*","q28_5*","q29_1*","q30_1*","q31","q32","q33","Actual Purchase","q27_binary"
3/2/21 8:47 PM,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,"false"
3/2/21 8:47 PM,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,1.0,5.0,4.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,"false"
3/2/21 8:48 PM,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,"false"
3/2/21 8:48 PM,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,"false"
3/2/21 8:49 PM,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,"false"
3/2/21 8:49 PM,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,"false"
3/2/21 8:49 PM,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,"true"
3/2/21 8:51 PM,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,"false"
3/2/21 8:52 PM,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,1.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,"false"
3/2/21 8:52 PM,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,"false"
3/2/21 8:52 PM,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,"false"
3/2/21 8:53 PM,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,"false"
3/2/21 8:53 PM,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,"false"
3/2/21 8:53 PM,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,"false"
3/2/21 8:55 PM,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,"false"
3/2/21 8:56 PM,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,"false"
